addr,bank,kind,canonical_addr,canonical_bank,covering_addr,covering_bank,evidence_count,source_flags_hex,source_flags
FF96,7,standalone,FF96,7,F72F,7,144,0x23,control|ptr_scan|xbank
DC80,7,standalone,DC80,7,CD7D,7,2,0x03,control|ptr_scan
E603,7,standalone,E603,7,E603,7,1,0x01,control
D269,7,standalone,D269,7,CD7D,7,37,0x23,control|ptr_scan|xbank
DE39,7,standalone,DE39,7,D0F5,7,44,0x03,control|ptr_scan
E12F,7,standalone,E12F,7,E12F,7,44,0x03,control|ptr_scan
DCCE,7,standalone,DCCE,7,CD7D,7,44,0x03,control|ptr_scan
CB25,7,standalone,CB25,7,C9EB,7,46,0x03,control|ptr_scan
EE11,7,standalone,EE11,7,EE11,7,55,0x03,control|ptr_scan
D2F6,7,standalone,D2F6,7,CD7D,7,170,0x23,control|ptr_scan|xbank
E1B9,7,standalone,E1B9,7,D1C9,7,222,0x23,control|ptr_scan|xbank
E5D1,7,standalone,E5D1,7,E5D1,7,1081,0x23,control|ptr_scan|xbank
CFBF,7,standalone,CFBF,7,CD7D,7,177,0x23,control|ptr_scan|xbank
D406,7,standalone,D406,7,CD7D,7,177,0x23,control|ptr_scan|xbank
E11E,7,secondary,D0F5,7,D0F5,7,5,0x03,control|ptr_scan
CF72,7,standalone,CF72,7,CD7D,7,257,0x27,control|ptr_scan|table_run|xbank
CFF3,7,standalone,CFF3,7,CD7D,7,261,0x27,control|ptr_scan|table_run|xbank
CFE4,7,standalone,CFE4,7,CD7D,7,131,0x27,control|ptr_scan|table_run|xbank
CD30,7,standalone,CD30,7,C9EB,7,263,0x27,control|ptr_scan|table_run|xbank
CC71,7,standalone,CC71,7,C9EB,7,313,0x27,control|ptr_scan|table_run|xbank
CCDA,7,standalone,CCDA,7,C9EB,7,153,0x27,control|ptr_scan|table_run|xbank
E5F2,7,standalone,E5F2,7,E5F2,7,1566,0x27,control|ptr_scan|table_run|xbank
8009,0,standalone,8009,0,8009,0,19,0x20,xbank
8009,1,standalone,8009,1,8009,1,19,0x20,xbank
8009,2,standalone,8009,2,8006,2,896,0x23,control|ptr_scan|xbank
8009,3,standalone,8009,3,8009,3,19,0x20,xbank
8009,4,standalone,8009,4,8009,4,19,0x20,xbank
8009,5,standalone,8009,5,8009,5,19,0x20,xbank
8009,6,standalone,8009,6,8009,6,19,0x20,xbank
D46D,7,standalone,D46D,7,CD7D,7,142,0x23,control|ptr_scan|xbank
800C,0,standalone,800C,0,800C,0,14,0x20,xbank
800C,1,standalone,800C,1,800C,1,14,0x20,xbank
800C,2,standalone,800C,2,800C,2,277,0x23,control|ptr_scan|xbank
800C,3,standalone,800C,3,800C,3,14,0x20,xbank
800C,4,standalone,800C,4,800C,4,14,0x20,xbank
800C,5,standalone,800C,5,800C,5,14,0x20,xbank
800C,6,standalone,800C,6,800C,6,14,0x20,xbank
DA23,7,standalone,DA23,7,CD7D,7,143,0x23,control|ptr_scan|xbank
D444,7,standalone,D444,7,CD7D,7,143,0x23,control|ptr_scan|xbank
CD7D,7,standalone,CD7D,7,CD7D,7,125,0x23,control|ptr_scan|xbank
CC61,7,standalone,CC61,7,C9EB,7,1,0x01,control
CC66,7,standalone,CC66,7,CC61,7,2,0x03,control|ptr_scan
848F,4,standalone,848F,4,848F,4,1,0x20,xbank
90D6,5,secondary,8594,5,8594,5,1,0x20,xbank
816C,6,standalone,816C,6,816C,6,1,0x20,xbank
8000,0,standalone,8000,0,8000,0,20,0x20,xbank
8000,1,standalone,8000,1,8000,1,21,0x24,table_run|xbank
8000,2,standalone,8000,2,8000,2,935,0x23,control|ptr_scan|xbank
8000,3,standalone,8000,3,8000,3,20,0x20,xbank
8000,4,standalone,8000,4,8000,4,20,0x20,xbank
8000,5,standalone,8000,5,8000,5,20,0x20,xbank
8000,6,standalone,8000,6,8000,6,20,0x20,xbank
8003,0,standalone,8003,0,8003,0,59,0x20,xbank
8003,1,standalone,8003,1,8003,1,59,0x20,xbank
8003,2,standalone,8003,2,8003,2,942,0x23,control|ptr_scan|xbank
8003,3,standalone,8003,3,8003,3,59,0x20,xbank
8003,4,standalone,8003,4,8003,4,59,0x20,xbank
8003,5,standalone,8003,5,8003,5,59,0x20,xbank
8003,6,standalone,8003,6,8003,6,59,0x20,xbank
D394,7,standalone,D394,7,CD7D,7,521,0x27,control|ptr_scan|table_run|xbank
E4D8,7,standalone,E4D8,7,E4D8,7,963,0x23,control|ptr_scan|xbank
E510,7,standalone,E510,7,E510,7,1964,0x27,control|ptr_scan|table_run|xbank
D796,7,standalone,D796,7,CD7D,7,616,0x23,control|ptr_scan|xbank
D3D0,7,standalone,D3D0,7,CD7D,7,840,0x27,control|ptr_scan|table_run|xbank
8478,4,standalone,8478,4,8478,4,1,0x20,xbank
8005,5,standalone,8005,5,8005,5,8,0x20,xbank
8BBE,6,standalone,8BBE,6,8BBE,6,2,0x20,xbank
E436,7,standalone,E436,7,E436,7,260,0x07,control|ptr_scan|table_run
DB92,7,standalone,DB92,7,CD7D,7,243,0x03,control|ptr_scan
DC27,7,standalone,DC27,7,DC27,7,54,0x03,control|ptr_scan
DBAF,7,standalone,DBAF,7,DBAF,7,374,0x03,control|ptr_scan
DB65,7,standalone,DB65,7,CD7D,7,61,0x03,control|ptr_scan
D377,7,standalone,D377,7,CD7D,7,422,0x27,control|ptr_scan|table_run|xbank
8012,0,standalone,8012,0,8012,0,17,0x20,xbank
8012,1,standalone,8012,1,8012,1,17,0x20,xbank
8012,2,standalone,8012,2,8012,2,229,0x23,control|ptr_scan|xbank
8012,3,standalone,8012,3,8012,3,17,0x20,xbank
8012,4,standalone,8012,4,8012,4,17,0x20,xbank
8012,5,standalone,8012,5,8012,5,17,0x20,xbank
8012,6,standalone,8012,6,8012,6,17,0x20,xbank
D5E5,7,standalone,D5E5,7,CD7D,7,266,0x27,control|ptr_scan|table_run|xbank
D5F5,7,standalone,D5F5,7,CD7D,7,138,0x23,control|ptr_scan|xbank
CD50,7,standalone,CD50,7,C9EB,7,2,0x03,control|ptr_scan
CD5F,7,standalone,CD5F,7,CD50,7,124,0x23,control|ptr_scan|xbank
CD93,7,standalone,CD93,7,CD7D,7,1806,0x23,control|ptr_scan|xbank
D36F,7,standalone,D36F,7,CD7D,7,272,0x27,control|ptr_scan|table_run|xbank
D576,7,standalone,D576,7,CD7D,7,485,0x23,control|ptr_scan|xbank
D59B,7,standalone,D59B,7,CD7D,7,171,0x23,control|ptr_scan|xbank
E9EA,7,standalone,E9EA,7,E9EA,7,334,0x27,control|ptr_scan|table_run|xbank
EEB4,7,standalone,EEB4,7,EEB4,7,215,0x27,control|ptr_scan|table_run|xbank
D60D,7,standalone,D60D,7,CD7D,7,278,0x23,control|ptr_scan|xbank
D662,7,standalone,D662,7,CD7D,7,130,0x23,control|ptr_scan|xbank
800F,2,standalone,800F,2,800F,2,215,0x23,control|ptr_scan|xbank
D6B8,7,standalone,D6B8,7,CD7D,7,129,0x23,control|ptr_scan|xbank
D7E8,7,standalone,D7E8,7,CD7D,7,254,0x23,control|ptr_scan|xbank
D6F4,7,standalone,D6F4,7,CD7D,7,128,0x23,control|ptr_scan|xbank
D756,7,standalone,D756,7,CD7D,7,674,0x23,control|ptr_scan|xbank
8006,2,standalone,8006,2,8006,2,881,0x23,control|ptr_scan|xbank
D341,7,standalone,D341,7,D341,7,857,0x27,control|ptr_scan|table_run|xbank
EDF6,7,standalone,EDF6,7,EDC0,7,187,0x27,control|ptr_scan|table_run|xbank
D950,7,standalone,D950,7,D950,7,117,0x03,control|ptr_scan
D920,7,standalone,D920,7,CD7D,7,116,0x03,control|ptr_scan
D842,7,standalone,D842,7,CD7D,7,118,0x03,control|ptr_scan
E4E3,7,standalone,E4E3,7,E4E3,7,451,0x27,control|ptr_scan|table_run|xbank
E417,7,standalone,E417,7,E417,7,438,0x03,control|ptr_scan
E49D,7,standalone,E49D,7,E49D,7,92,0x03,control|ptr_scan
801E,2,standalone,801E,2,801E,2,54,0x23,control|ptr_scan|xbank
910A,5,standalone,910A,5,8594,5,16,0x25,control|table_run|xbank
913C,5,standalone,913C,5,8594,5,16,0x25,control|table_run|xbank
911A,5,standalone,911A,5,8594,5,17,0x25,control|table_run|xbank
8707,6,standalone,8707,6,8707,6,1,0x20,xbank
81B5,6,standalone,81B5,6,81B5,6,1,0x20,xbank
84CE,6,standalone,84CE,6,84CE,6,2,0x24,table_run|xbank
8561,6,standalone,8561,6,8561,6,2,0x24,table_run|xbank
86B9,6,standalone,86B9,6,86B9,6,2,0x24,table_run|xbank
86E3,6,standalone,86E3,6,86E3,6,2,0x24,table_run|xbank
8023,4,standalone,8023,4,8023,4,1,0x20,xbank
8EFF,5,secondary,8EFD,5,8EFD,5,1,0x20,xbank
871D,6,standalone,871D,6,871D,6,1,0x20,xbank
800F,4,standalone,800F,4,800F,4,13,0x20,xbank
8F55,5,secondary,8594,5,8594,5,1,0x20,xbank
8B66,6,standalone,8B66,6,8B66,6,13,0x25,control|table_run|xbank
E544,7,standalone,E544,7,E544,7,10,0x03,control|ptr_scan
D9F0,7,standalone,D9F0,7,CD7D,7,12,0x03,control|ptr_scan
EEF1,7,standalone,EEF1,7,EEF1,7,6,0x24,table_run|xbank
8021,0,standalone,8021,0,8021,0,2,0x20,xbank
8021,1,standalone,8021,1,8021,1,2,0x20,xbank
8021,2,standalone,8021,2,8021,2,2,0x20,xbank
8021,3,standalone,8021,3,8021,3,2,0x20,xbank
8021,4,standalone,8021,4,8021,4,2,0x20,xbank
8021,5,standalone,8021,5,8021,5,2,0x20,xbank
8021,6,standalone,8021,6,8021,6,2,0x20,xbank
801E,0,standalone,801E,0,801E,0,14,0x20,xbank
801E,1,standalone,801E,1,801E,1,14,0x20,xbank
801E,3,standalone,801E,3,801E,3,14,0x20,xbank
801E,4,standalone,801E,4,801E,4,14,0x20,xbank
801E,5,standalone,801E,5,801E,5,14,0x20,xbank
801E,6,standalone,801E,6,801E,6,14,0x20,xbank
8F19,5,standalone,8F19,5,8594,5,19,0x25,control|table_run|xbank
8F29,5,standalone,8F29,5,8594,5,19,0x25,control|table_run|xbank
9B6E,5,standalone,9B6E,5,9483,5,68,0x25,control|table_run|xbank
8F8B,5,standalone,8F8B,5,8594,5,16,0x25,control|table_run|xbank
8C29,6,standalone,8C29,6,8C29,6,1,0x20,xbank
800F,0,standalone,800F,0,800F,0,11,0x20,xbank
800F,1,standalone,800F,1,800F,1,11,0x20,xbank
800F,3,standalone,800F,3,800F,3,11,0x20,xbank
800F,5,standalone,800F,5,800F,5,11,0x20,xbank
800F,6,standalone,800F,6,800F,6,11,0x20,xbank
8006,0,standalone,8006,0,8006,0,70,0x20,xbank
8006,1,standalone,8006,1,8006,1,70,0x20,xbank
8006,3,standalone,8006,3,8006,3,70,0x20,xbank
8006,4,standalone,8006,4,8006,4,70,0x20,xbank
8006,5,secondary,8004,5,8004,5,70,0x20,xbank
8006,6,standalone,8006,6,8006,6,70,0x20,xbank
E4B5,7,standalone,E4B5,7,E4B5,7,2,0x03,control|ptr_scan
917D,5,standalone,917D,5,913C,5,20,0x25,control|table_run|xbank
824E,6,standalone,824E,6,824E,6,3,0x24,table_run|xbank
821F,6,standalone,821F,6,821F,6,3,0x24,table_run|xbank
85E1,6,standalone,85E1,6,8567,6,30,0x25,control|table_run|xbank
EDC0,7,standalone,EDC0,7,EDBD,7,49,0x27,control|ptr_scan|table_run|xbank
8261,6,standalone,8261,6,8261,6,2,0x20,xbank
874A,6,secondary,873A,6,873A,6,1,0x20,xbank
8FC2,5,standalone,8FC2,5,8594,5,15,0x25,control|table_run|xbank
8F9B,5,standalone,8F9B,5,8594,5,15,0x25,control|table_run|xbank
E57D,7,standalone,E57D,7,E57D,7,6,0x03,control|ptr_scan
EEF3,7,standalone,EEF3,7,EEF3,7,10,0x22,ptr_scan|xbank
801D,3,standalone,801D,3,801D,3,2,0x20,xbank
89BF,6,standalone,89BF,6,89BF,6,1,0x20,xbank
89A4,6,standalone,89A4,6,89A4,6,2,0x24,table_run|xbank
8F18,5,secondary,8F01,5,8F01,5,2,0x21,control|xbank
8BCA,6,standalone,8BCA,6,8BCA,6,1,0x20,xbank
8437,4,standalone,8437,4,8437,4,1,0x20,xbank
9015,5,standalone,9015,5,8594,5,2,0x21,control|xbank
8A5B,6,standalone,8A5B,6,8A5B,6,14,0x25,control|table_run|xbank
E4BF,7,standalone,E4BF,7,E4B5,7,4,0x03,control|ptr_scan
8289,6,standalone,8289,6,8289,6,1,0x20,xbank
EC36,7,standalone,EC36,7,EC36,7,23,0x25,control|table_run|xbank
EDB2,7,standalone,EDB2,7,EDB2,7,12,0x24,table_run|xbank
81B7,6,standalone,81B7,6,81B7,6,2,0x24,table_run|xbank
879E,6,standalone,879E,6,873A,6,5,0x25,control|table_run|xbank
9002,5,standalone,9002,5,8FC2,5,15,0x25,control|table_run|xbank
8F86,5,secondary,8594,5,8594,5,1,0x20,xbank
8895,6,standalone,8895,6,8895,6,14,0x25,control|table_run|xbank
904E,5,standalone,904E,5,8594,5,16,0x25,control|table_run|xbank
9083,5,standalone,9083,5,8594,5,16,0x25,control|table_run|xbank
9060,5,standalone,9060,5,8594,5,17,0x25,control|table_run|xbank
8AAA,6,standalone,8AAA,6,8AAA,6,1,0x20,xbank
EF9B,7,standalone,EF9B,7,EF9B,7,145,0x27,control|ptr_scan|table_run|xbank
EA13,7,standalone,EA13,7,EA13,7,112,0x27,control|ptr_scan|table_run|xbank
ED21,7,standalone,ED21,7,ED21,7,67,0x27,control|ptr_scan|table_run|xbank
ED36,7,standalone,ED36,7,ED36,7,7,0x23,control|ptr_scan|xbank
EC91,7,standalone,EC91,7,EC91,7,46,0x27,control|ptr_scan|table_run|xbank
ED45,7,standalone,ED45,7,ED45,7,77,0x27,control|ptr_scan|table_run|xbank
EF3D,7,standalone,EF3D,7,EF3D,7,9,0x25,control|table_run|xbank
90C3,5,standalone,90C3,5,9083,5,20,0x25,control|table_run|xbank
ED51,7,standalone,ED51,7,ED45,7,13,0x27,control|ptr_scan|table_run|xbank
F0FF,7,standalone,F0FF,7,F0FF,7,1,0x02,ptr_scan
F100,7,standalone,F100,7,F100,7,1,0x02,ptr_scan
F000,7,secondary,EF9B,7,EF9B,7,1,0x02,ptr_scan
F001,7,standalone,F001,7,F001,7,1,0x02,ptr_scan
F05F,7,secondary,F04D,7,F04D,7,1,0x02,ptr_scan
F060,7,standalone,F060,7,F060,7,1,0x02,ptr_scan
F0F0,7,standalone,F0F0,7,F0F0,7,1,0x02,ptr_scan
F0F1,7,standalone,F0F1,7,F0F1,7,1,0x02,ptr_scan
F57F,7,secondary,F53E,7,F53E,7,1,0x02,ptr_scan
F00F,7,standalone,F00F,7,F00F,7,1,0x02,ptr_scan
F010,7,secondary,EF9B,7,EF9B,7,1,0x02,ptr_scan
F5FF,7,standalone,F5FF,7,F5FF,7,1,0x02,ptr_scan
F7FF,7,standalone,F7FF,7,F7FF,7,1,0x02,ptr_scan
F800,7,secondary,F7DC,7,F7DC,7,1,0x02,ptr_scan
F74F,7,secondary,F748,7,F748,7,1,0x02,ptr_scan
F750,7,standalone,F750,7,F750,7,1,0x02,ptr_scan
F0F7,7,standalone,F0F7,7,F0F7,7,1,0x02,ptr_scan
F0F8,7,standalone,F0F8,7,F0F8,7,1,0x02,ptr_scan
F5AB,7,standalone,F5AB,7,F5AB,7,1,0x02,ptr_scan
F5AC,7,standalone,F5AC,7,F5AC,7,1,0x02,ptr_scan
F7AB,7,secondary,F72F,7,F72F,7,1,0x02,ptr_scan
FFF5,7,standalone,FFF5,7,FFF5,7,1,0x02,ptr_scan
FFF6,7,secondary,F72F,7,F72F,7,1,0x02,ptr_scan
FBFF,7,secondary,F72F,7,F72F,7,1,0x02,ptr_scan
F778,7,secondary,F772,7,F772,7,1,0x02,ptr_scan
F760,7,secondary,F748,7,F748,7,1,0x02,ptr_scan
FA7F,7,standalone,FA7F,7,FA7F,7,1,0x02,ptr_scan
FA80,7,secondary,F72F,7,F72F,7,1,0x02,ptr_scan
F757,7,secondary,F748,7,F748,7,1,0x02,ptr_scan
F758,7,standalone,F758,7,F758,7,1,0x02,ptr_scan
FA5B,7,standalone,FA5B,7,FA5B,7,1,0x02,ptr_scan
FA5C,7,standalone,FA5C,7,FA5C,7,1,0x02,ptr_scan
F07A,7,secondary,F068,7,F068,7,1,0x02,ptr_scan
F076,7,secondary,F068,7,F068,7,1,0x02,ptr_scan
F45F,7,secondary,F459,7,F459,7,1,0x02,ptr_scan
F460,7,standalone,F460,7,F460,7,1,0x02,ptr_scan
F4F4,7,standalone,F4F4,7,F4F4,7,1,0x02,ptr_scan
F4F5,7,standalone,F4F5,7,F4F5,7,1,0x02,ptr_scan
F575,7,standalone,F575,7,F575,7,1,0x02,ptr_scan
F576,7,secondary,F53E,7,F53E,7,1,0x02,ptr_scan
F005,7,secondary,EF9B,7,EF9B,7,1,0x02,ptr_scan
F006,7,secondary,EF9B,7,EF9B,7,1,0x02,ptr_scan
FFF0,7,secondary,F72F,7,F72F,7,1,0x02,ptr_scan
F781,7,secondary,F772,7,F772,7,1,0x02,ptr_scan
FFF7,7,standalone,FFF7,7,FFF7,7,1,0x02,ptr_scan
FFF8,7,secondary,F72F,7,F72F,7,1,0x02,ptr_scan
F500,7,standalone,F500,7,F500,7,1,0x02,ptr_scan
F501,7,standalone,F501,7,F501,7,1,0x02,ptr_scan
F8FF,7,secondary,F72F,7,F72F,7,1,0x02,ptr_scan
F900,7,standalone,F900,7,F900,7,1,0x02,ptr_scan
FFF9,7,standalone,FFF9,7,FFF9,7,1,0x02,ptr_scan
F008,7,secondary,EF9B,7,EF9B,7,1,0x02,ptr_scan
F009,7,secondary,EF9B,7,EF9B,7,1,0x02,ptr_scan
FA00,7,secondary,F9F2,7,F9F2,7,1,0x02,ptr_scan
FFFA,7,secondary,F72F,7,F72F,7,1,0x02,ptr_scan
FFFB,7,standalone,FFFB,7,FFFB,7,1,0x02,ptr_scan
F7A1,7,secondary,F72F,7,F72F,7,1,0x02,ptr_scan
F074,7,secondary,F068,7,F068,7,1,0x02,ptr_scan
F85F,7,secondary,F72F,7,F72F,7,1,0x02,ptr_scan
F0AF,7,standalone,F0AF,7,F0AF,7,1,0x02,ptr_scan
F0B0,7,standalone,F0B0,7,F0B0,7,1,0x02,ptr_scan
F0BB,7,standalone,F0BB,7,F0BB,7,1,0x02,ptr_scan
F0BC,7,standalone,F0BC,7,F0BC,7,1,0x02,ptr_scan
F04F,7,standalone,F04F,7,F04F,7,1,0x02,ptr_scan
F050,7,secondary,F04D,7,F04D,7,1,0x02,ptr_scan
F08F,7,secondary,F068,7,F068,7,1,0x02,ptr_scan
F090,7,secondary,F068,7,F068,7,1,0x02,ptr_scan
F751,7,secondary,F748,7,F748,7,1,0x02,ptr_scan
F400,7,standalone,F400,7,F400,7,1,0x02,ptr_scan
F401,7,standalone,F401,7,F401,7,1,0x02,ptr_scan
F440,7,standalone,F440,7,F440,7,1,0x02,ptr_scan
FB05,7,secondary,F72F,7,F72F,7,1,0x02,ptr_scan
F4FF,7,standalone,F4FF,7,F4FF,7,1,0x02,ptr_scan
F00A,7,standalone,F00A,7,F00A,7,1,0x02,ptr_scan
F00B,7,secondary,EF9B,7,EF9B,7,1,0x02,ptr_scan
F4F0,7,standalone,F4F0,7,F4F0,7,1,0x02,ptr_scan
F58F,7,standalone,F58F,7,F58F,7,1,0x02,ptr_scan
F590,7,secondary,F58A,7,F58A,7,1,0x02,ptr_scan
F007,7,standalone,F007,7,F007,7,1,0x02,ptr_scan
F7F0,7,secondary,F7DC,7,F7DC,7,1,0x02,ptr_scan
F7F1,7,secondary,F7DC,7,F7DC,7,1,0x02,ptr_scan
F0A4,7,standalone,F0A4,7,F0A4,7,1,0x02,ptr_scan
F0A5,7,standalone,F0A5,7,F0A5,7,1,0x02,ptr_scan
F700,7,secondary,F6C9,7,F6C9,7,1,0x02,ptr_scan
F701,7,secondary,F6C9,7,F6C9,7,1,0x02,ptr_scan
F0BF,7,standalone,F0BF,7,F0BF,7,1,0x02,ptr_scan
F0C0,7,standalone,F0C0,7,F0C0,7,1,0x02,ptr_scan
F508,7,standalone,F508,7,F508,7,1,0x02,ptr_scan
F509,7,standalone,F509,7,F509,7,1,0x02,ptr_scan
F5F5,7,secondary,F5BD,7,F5BD,7,1,0x02,ptr_scan
F5F6,7,standalone,F5F6,7,F5F6,7,1,0x02,ptr_scan
F50A,7,standalone,F50A,7,F50A,7,1,0x02,ptr_scan
F50B,7,standalone,F50B,7,F50B,7,1,0x02,ptr_scan
F510,7,standalone,F510,7,F510,7,1,0x02,ptr_scan
FAAF,7,standalone,FAAF,7,FAAF,7,1,0x02,ptr_scan
FAB0,7,secondary,F72F,7,F72F,7,1,0x02,ptr_scan
F70A,7,standalone,F70A,7,F70A,7,1,0x02,ptr_scan
F70B,7,secondary,F6C9,7,F6C9,7,1,0x02,ptr_scan
F581,7,secondary,F53E,7,F53E,7,1,0x02,ptr_scan
F40F,7,standalone,F40F,7,F40F,7,1,0x02,ptr_scan
F410,7,standalone,F410,7,F410,7,1,0x02,ptr_scan
FBB0,7,secondary,F72F,7,F72F,7,1,0x02,ptr_scan
F85A,7,standalone,F85A,7,F85A,7,1,0x02,ptr_scan
F85B,7,secondary,F72F,7,F72F,7,1,0x02,ptr_scan
FA81,7,standalone,FA81,7,FA81,7,1,0x02,ptr_scan
F80B,7,standalone,F80B,7,F80B,7,1,0x02,ptr_scan
F80C,7,secondary,F7DC,7,F7DC,7,1,0x02,ptr_scan
F545,7,secondary,F53E,7,F53E,7,1,0x02,ptr_scan
F546,7,standalone,F546,7,F546,7,1,0x02,ptr_scan
F570,7,standalone,F570,7,F570,7,1,0x02,ptr_scan
F571,7,secondary,F53E,7,F53E,7,1,0x02,ptr_scan
F84F,7,standalone,F84F,7,F84F,7,1,0x02,ptr_scan
F850,7,secondary,F72F,7,F72F,7,1,0x02,ptr_scan
F0F9,7,standalone,F0F9,7,F0F9,7,1,0x02,ptr_scan
F78B,7,secondary,F772,7,F772,7,1,0x02,ptr_scan
F555,7,secondary,F53E,7,F53E,7,1,0x02,ptr_scan
F556,7,standalone,F556,7,F556,7,1,0x02,ptr_scan
F080,7,secondary,F068,7,F068,7,1,0x02,ptr_scan
FA0F,7,standalone,FA0F,7,FA0F,7,1,0x02,ptr_scan
FA10,7,secondary,F9F2,7,F9F2,7,1,0x02,ptr_scan
FBB5,7,secondary,F72F,7,F72F,7,1,0x02,ptr_scan
FBB6,7,standalone,FBB6,7,FBB6,7,1,0x02,ptr_scan
F480,7,standalone,F480,7,F480,7,1,0x02,ptr_scan
F481,7,secondary,F459,7,F459,7,1,0x02,ptr_scan
FBF0,7,standalone,FBF0,7,FBF0,7,1,0x02,ptr_scan
FBF1,7,standalone,FBF1,7,FBF1,7,1,0x02,ptr_scan
FB70,7,secondary,F72F,7,F72F,7,1,0x02,ptr_scan
FB71,7,standalone,FB71,7,FB71,7,1,0x02,ptr_scan
F7F4,7,standalone,F7F4,7,F7F4,7,1,0x02,ptr_scan
F7F5,7,secondary,F7DC,7,F7DC,7,1,0x02,ptr_scan
FA0C,7,secondary,F9F2,7,F9F2,7,1,0x02,ptr_scan
F40A,7,standalone,F40A,7,F40A,7,1,0x02,ptr_scan
F40B,7,standalone,F40B,7,F40B,7,1,0x02,ptr_scan
F05A,7,secondary,F04D,7,F04D,7,1,0x02,ptr_scan
F05B,7,standalone,F05B,7,F05B,7,1,0x02,ptr_scan
F44F,7,standalone,F44F,7,F44F,7,1,0x02,ptr_scan
F450,7,standalone,F450,7,F450,7,1,0x02,ptr_scan
F504,7,standalone,F504,7,F504,7,1,0x02,ptr_scan
F505,7,standalone,F505,7,F505,7,1,0x02,ptr_scan
F0F5,7,standalone,F0F5,7,F0F5,7,1,0x02,ptr_scan
F0F6,7,standalone,F0F6,7,F0F6,7,1,0x02,ptr_scan
FB01,7,secondary,F72F,7,F72F,7,1,0x02,ptr_scan
FB8B,7,secondary,F72F,7,F72F,7,1,0x02,ptr_scan
FB8C,7,standalone,FB8C,7,FB8C,7,1,0x02,ptr_scan
F88F,7,standalone,F88F,7,F88F,7,1,0x02,ptr_scan
F890,7,secondary,F873,7,F873,7,1,0x02,ptr_scan
F87B,7,secondary,F873,7,F873,7,1,0x02,ptr_scan
F740,7,standalone,F740,7,F740,7,1,0x02,ptr_scan
F741,7,secondary,F72F,7,F72F,7,1,0x02,ptr_scan
F0A6,7,standalone,F0A6,7,F0A6,7,1,0x02,ptr_scan
F408,7,standalone,F408,7,F408,7,1,0x02,ptr_scan
F409,7,standalone,F409,7,F409,7,1,0x02,ptr_scan
F47A,7,standalone,F47A,7,F47A,7,1,0x02,ptr_scan
F47B,7,standalone,F47B,7,F47B,7,1,0x02,ptr_scan
F477,7,secondary,F459,7,F459,7,1,0x02,ptr_scan
F478,7,standalone,F478,7,F478,7,1,0x02,ptr_scan
FA7B,7,secondary,F72F,7,F72F,7,1,0x02,ptr_scan
FA7C,7,standalone,FA7C,7,FA7C,7,1,0x02,ptr_scan
F55A,7,standalone,F55A,7,F55A,7,1,0x02,ptr_scan
F55B,7,secondary,F53E,7,F53E,7,1,0x02,ptr_scan
F5F0,7,standalone,F5F0,7,F5F0,7,1,0x02,ptr_scan
F5F1,7,secondary,F5BD,7,F5BD,7,1,0x02,ptr_scan
FA85,7,secondary,F72F,7,F72F,7,1,0x02,ptr_scan
FA86,7,secondary,F72F,7,F72F,7,1,0x02,ptr_scan
F7AA,7,standalone,F7AA,7,F7AA,7,1,0x02,ptr_scan
F5A7,7,secondary,F598,7,F598,7,1,0x02,ptr_scan
F5A8,7,standalone,F5A8,7,F5A8,7,1,0x02,ptr_scan
F7BC,7,secondary,F72F,7,F72F,7,1,0x02,ptr_scan
F44B,7,standalone,F44B,7,F44B,7,1,0x02,ptr_scan
F44C,7,standalone,F44C,7,F44C,7,1,0x02,ptr_scan
F709,7,secondary,F6C9,7,F6C9,7,1,0x02,ptr_scan
F48B,7,secondary,F459,7,F459,7,1,0x02,ptr_scan
F48C,7,standalone,F48C,7,F48C,7,1,0x02,ptr_scan
F0AA,7,standalone,F0AA,7,F0AA,7,1,0x02,ptr_scan
F0AB,7,standalone,F0AB,7,F0AB,7,1,0x02,ptr_scan
FB0F,7,secondary,F72F,7,F72F,7,1,0x02,ptr_scan
FB10,7,standalone,FB10,7,FB10,7,1,0x02,ptr_scan
FFFC,7,secondary,F72F,7,F72F,7,1,0x02,ptr_scan
F0B1,7,standalone,F0B1,7,F0B1,7,1,0x02,ptr_scan
F4A0,7,secondary,F459,7,F459,7,1,0x02,ptr_scan
F4A1,7,standalone,F4A1,7,F4A1,7,1,0x02,ptr_scan
F8F1,7,secondary,F72F,7,F72F,7,1,0x02,ptr_scan
F004,7,standalone,F004,7,F004,7,1,0x02,ptr_scan
FAFF,7,secondary,F72F,7,F72F,7,1,0x02,ptr_scan
F801,7,standalone,F801,7,F801,7,1,0x02,ptr_scan
F7F8,7,standalone,F7F8,7,F7F8,7,1,0x02,ptr_scan
F7F9,7,secondary,F7DC,7,F7DC,7,1,0x02,ptr_scan
F4B0,7,standalone,F4B0,7,F4B0,7,1,0x02,ptr_scan
F4B1,7,secondary,F459,7,F459,7,1,0x02,ptr_scan
F0A0,7,secondary,F068,7,F068,7,1,0x02,ptr_scan
F0A1,7,standalone,F0A1,7,F0A1,7,1,0x02,ptr_scan
F055,7,secondary,F04D,7,F04D,7,1,0x02,ptr_scan
F056,7,standalone,F056,7,F056,7,1,0x02,ptr_scan
F0F4,7,standalone,F0F4,7,F0F4,7,1,0x02,ptr_scan
FA48,7,secondary,F72F,7,F72F,7,1,0x02,ptr_scan
F470,7,secondary,F459,7,F459,7,1,0x02,ptr_scan
